CommitId;RefactoringType;RefactoringDetail
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.extensions.CustomGraphRepository moved to org.springframework.data.neo4j.extensions.CustomGraphRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.extensions.CustomGraphRepositoryImpl moved to org.springframework.data.neo4j.extensions.CustomGraphRepositoryImpl
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.extensions.CustomGraphRepositoryTest moved to org.springframework.data.neo4j.extensions.CustomGraphRepositoryTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.extensions.CustomPersistenceContext moved to org.springframework.data.neo4j.extensions.CustomPersistenceContext
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.extensions.UserRepository moved to org.springframework.data.neo4j.extensions.UserRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.extensions.domain.User moved to org.springframework.data.neo4j.extensions.domain.User
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.controller.UserController moved to org.springframework.data.neo4j.web.controller.UserController
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.repositories.ProgrammaticRepositoryTest moved to org.springframework.data.neo4j.repositories.ProgrammaticRepositoryTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.repositories.RepoScanningTest moved to org.springframework.data.neo4j.repositories.RepoScanningTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.repositories.RepositoryDefinitionTest moved to org.springframework.data.neo4j.repositories.RepositoryDefinitionTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.repositories.domain.Movie moved to org.springframework.data.neo4j.repositories.domain.Movie
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.repositories.domain.User moved to org.springframework.data.neo4j.repositories.domain.User
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.repositories.repo.MovieRepository moved to org.springframework.data.neo4j.repositories.repo.MovieRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.repositories.repo.PersistenceContextInTheSamePackage moved to org.springframework.data.neo4j.repositories.repo.PersistenceContextInTheSamePackage
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.repositories.repo.UserRepository moved to org.springframework.data.neo4j.repositories.repo.UserRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.template.ExceptionTranslationTest moved to org.springframework.data.neo4j.template.ExceptionTranslationTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.template.Neo4jTemplateTest moved to org.springframework.data.neo4j.template.Neo4jTemplateTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.template.TemplateApplicationEventTest moved to org.springframework.data.neo4j.template.TemplateApplicationEventTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.template.TestNeo4jEventListener moved to org.springframework.data.neo4j.template.TestNeo4jEventListener
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.template.context.DataManipulationEventConfiguration moved to org.springframework.data.neo4j.template.context.DataManipulationEventConfiguration
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.transactions.ApplicationConfig moved to org.springframework.data.neo4j.transactions.ApplicationConfig
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.transactions.TransactionBoundaryTest moved to org.springframework.data.neo4j.transactions.TransactionBoundaryTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.transactions.service.BusinessService moved to org.springframework.data.neo4j.transactions.service.BusinessService
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.transactions.service.WrapperService moved to org.springframework.data.neo4j.transactions.service.WrapperService
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.WebIntegrationTest moved to org.springframework.data.neo4j.web.WebIntegrationTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.context.WebAppContext moved to org.springframework.data.neo4j.web.context.WebAppContext
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.context.WebPersistenceContext moved to org.springframework.data.neo4j.web.context.WebPersistenceContext
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.domain.Cinema moved to org.springframework.data.neo4j.web.domain.Cinema
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.domain.User moved to org.springframework.data.neo4j.web.domain.User
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.repo.GenreRepository moved to org.springframework.data.neo4j.web.repo.GenreRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.repo.UserRepository moved to org.springframework.data.neo4j.web.repo.UserRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.service.UserService moved to org.springframework.data.neo4j.web.service.UserService
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.web.service.UserServiceImpl moved to org.springframework.data.neo4j.web.service.UserServiceImpl
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Change Package;Change Package	org.springframework.data.neo4j.integration.helloworld to org.springframework.data.neo4j.examples.galaxy
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.jsr303.JSR303Test moved to org.springframework.data.neo4j.examples.jsr303.JSR303Test
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.jsr303.WebConfiguration moved to org.springframework.data.neo4j.examples.jsr303.WebConfiguration
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.jsr303.controller.AdultController moved to org.springframework.data.neo4j.examples.jsr303.controller.AdultController
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.jsr303.domain.Adult moved to org.springframework.data.neo4j.examples.jsr303.domain.Adult
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.jsr303.repo.AdultRepository moved to org.springframework.data.neo4j.examples.jsr303.repo.AdultRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.AbstractAnnotatedEntity moved to org.springframework.data.neo4j.examples.movies.domain.AbstractAnnotatedEntity
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.AbstractEntity moved to org.springframework.data.neo4j.examples.movies.domain.AbstractEntity
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.Actor moved to org.springframework.data.neo4j.examples.movies.domain.Actor
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.Cinema moved to org.springframework.data.neo4j.examples.movies.domain.Cinema
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.Movie moved to org.springframework.data.neo4j.examples.movies.domain.Movie
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.Person moved to org.springframework.data.neo4j.examples.movies.domain.Person
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.Rating moved to org.springframework.data.neo4j.examples.movies.domain.Rating
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.ReleasedMovie moved to org.springframework.data.neo4j.examples.movies.domain.ReleasedMovie
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.TempMovie moved to org.springframework.data.neo4j.examples.movies.domain.TempMovie
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.User moved to org.springframework.data.neo4j.examples.movies.domain.User
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.queryresult.RichUserQueryResult moved to org.springframework.data.neo4j.examples.movies.domain.queryresult.RichUserQueryResult
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;Move Class	org.springframework.data.neo4j.integration.movies.domain.queryresult.UserQueryResult moved to org.springframework.data.neo4j.examples.movies.domain.queryresult.UserQueryResult
