CommitId;RefactoringType;RefactoringDetail
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#noLocaleResolver();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#overrideLocale();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#noDateFormat();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#overrideDateFormat();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#noMessageCodesResolver();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#overrideMessageCodesFormat();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#customViewResolver();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#customContentNegotiatingViewResolver();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#resourceHandlerMappingOverrideWebjars();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;Extract Method;spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#resourceHandlerMappingOverrideAll();spring-boot-autoconfigure/src/test/java/org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class, String[])
